0.00E+00	0.00E+00	4.71E-28	1.12E-30
2.95E-02	2.95E-02	7.59E-05	-2.44E-08
1.18E-01	1.18E-01	1.20E-03	-1.57E-06
2.66E-01	2.66E-01	6.02E-03	-1.81E-05
4.72E-01	4.72E-01	1.87E-02	-1.03E-04
7.38E-01	7.37E-01	4.49E-02	-4.00E-04
1.06E+00	1.06E+00	9.12E-02	-1.21E-03
1.45E+00	1.44E+00	1.65E-01	-3.10E-03
1.89E+00	1.88E+00	2.74E-01	-6.95E-03
2.39E+00	2.37E+00	4.25E-01	-1.40E-02
2.95E+00	2.92E+00	6.23E-01	-2.59E-02
3.57E+00	3.51E+00	8.70E-01	-4.41E-02
4.25E+00	4.14E+00	1.16E+00	-7.03E-02
4.98E+00	4.80E+00	1.49E+00	-1.05E-01
5.77E+00	5.49E+00	1.83E+00	-1.49E-01
6.63E+00	6.18E+00	2.17E+00	-2.00E-01
7.54E+00	6.86E+00	2.50E+00	-2.57E-01
8.50E+00	7.53E+00	2.80E+00	-3.18E-01
9.53E+00	8.18E+00	3.05E+00	-3.80E-01
1.06E+01	8.79E+00	3.26E+00	-4.41E-01
1.18E+01	9.36E+00	3.42E+00	-4.98E-01
1.30E+01	9.89E+00	3.54E+00	-5.52E-01
1.42E+01	1.04E+01	3.61E+00	-6.00E-01
1.55E+01	1.08E+01	3.65E+00	-6.42E-01
1.69E+01	1.12E+01	3.65E+00	-6.79E-01
1.83E+01	1.16E+01	3.64E+00	-7.11E-01
1.98E+01	1.20E+01	3.60E+00	-7.38E-01
2.13E+01	1.23E+01	3.55E+00	-7.60E-01
2.29E+01	1.26E+01	3.49E+00	-7.78E-01
2.46E+01	1.28E+01	3.42E+00	-7.93E-01
2.63E+01	1.31E+01	3.35E+00	-8.05E-01
2.80E+01	1.33E+01	3.28E+00	-8.15E-01
2.99E+01	1.35E+01	3.20E+00	-8.22E-01
3.17E+01	1.37E+01	3.13E+00	-8.27E-01
3.37E+01	1.38E+01	3.06E+00	-8.31E-01
3.56E+01	1.40E+01	2.99E+00	-8.34E-01
3.77E+01	1.41E+01	2.93E+00	-8.36E-01
3.97E+01	1.43E+01	2.87E+00	-8.37E-01
4.19E+01	1.44E+01	2.81E+00	-8.37E-01
4.41E+01	1.46E+01	2.75E+00	-8.36E-01
4.63E+01	1.47E+01	2.70E+00	-8.35E-01
4.86E+01	1.48E+01	2.65E+00	-8.33E-01
5.10E+01	1.49E+01	2.60E+00	-8.30E-01
5.34E+01	1.50E+01	2.56E+00	-8.27E-01
5.58E+01	1.51E+01	2.52E+00	-8.23E-01
5.83E+01	1.52E+01	2.47E+00	-8.18E-01
6.09E+01	1.53E+01	2.44E+00	-8.12E-01
6.35E+01	1.54E+01	2.40E+00	-8.07E-01
6.61E+01	1.55E+01	2.36E+00	-8.02E-01
6.88E+01	1.56E+01	2.33E+00	-7.96E-01
7.16E+01	1.57E+01	2.30E+00	-7.90E-01
7.43E+01	1.58E+01	2.27E+00	-7.83E-01
7.72E+01	1.59E+01	2.24E+00	-7.76E-01
8.01E+01	1.60E+01	2.21E+00	-7.69E-01
8.30E+01	1.61E+01	2.18E+00	-7.62E-01
8.60E+01	1.62E+01	2.15E+00	-7.56E-01
8.90E+01	1.62E+01	2.13E+00	-7.49E-01
9.21E+01	1.63E+01	2.10E+00	-7.41E-01
9.52E+01	1.64E+01	2.07E+00	-7.34E-01
9.84E+01	1.65E+01	2.04E+00	-7.27E-01
1.02E+02	1.66E+01	2.01E+00	-7.20E-01
1.05E+02	1.67E+01	1.99E+00	-7.13E-01
1.08E+02	1.67E+01	1.96E+00	-7.05E-01
1.12E+02	1.68E+01	1.93E+00	-6.98E-01
1.15E+02	1.69E+01	1.91E+00	-6.90E-01
1.18E+02	1.70E+01	1.88E+00	-6.82E-01
1.22E+02	1.71E+01	1.85E+00	-6.74E-01
1.25E+02	1.71E+01	1.82E+00	-6.66E-01
1.29E+02	1.72E+01	1.80E+00	-6.58E-01
1.32E+02	1.73E+01	1.77E+00	-6.50E-01
1.36E+02	1.74E+01	1.75E+00	-6.41E-01
1.40E+02	1.74E+01	1.72E+00	-6.33E-01
1.43E+02	1.75E+01	1.69E+00	-6.24E-01
1.47E+02	1.76E+01	1.67E+00	-6.15E-01
1.51E+02	1.77E+01	1.64E+00	-6.06E-01
1.55E+02	1.77E+01	1.61E+00	-5.96E-01
1.59E+02	1.78E+01	1.59E+00	-5.85E-01
1.62E+02	1.79E+01	1.56E+00	-5.75E-01
1.66E+02	1.80E+01	1.53E+00	-5.64E-01
1.70E+02	1.80E+01	1.50E+00	-5.52E-01
1.74E+02	1.81E+01	1.48E+00	-5.40E-01
1.78E+02	1.82E+01	1.45E+00	-5.29E-01
1.82E+02	1.83E+01	1.43E+00	-5.17E-01
1.86E+02	1.83E+01	1.40E+00	-5.06E-01
1.91E+02	1.84E+01	1.37E+00	-4.95E-01
1.95E+02	1.85E+01	1.35E+00	-4.84E-01
1.99E+02	1.85E+01	1.32E+00	-4.73E-01
2.03E+02	1.86E+01	1.30E+00	-4.62E-01
2.07E+02	1.87E+01	1.27E+00	-4.51E-01
2.12E+02	1.87E+01	1.25E+00	-4.40E-01
2.16E+02	1.88E+01	1.22E+00	-4.29E-01
2.20E+02	1.89E+01	1.20E+00	-4.19E-01
2.25E+02	1.89E+01	1.17E+00	-4.09E-01
2.29E+02	1.90E+01	1.15E+00	-3.99E-01
2.33E+02	1.90E+01	1.12E+00	-3.88E-01
2.38E+02	1.91E+01	1.09E+00	-3.78E-01
