# The data in this file was extracted from a direct numerical
# simulation of fully developed plane turbulent channel
# flow. Particulars are listed below. Note that some of the statistical
# quantities provided in this data set should be zero due to
# (statistical) symmetries in the flow. These quantities are reported
# here none-the-less as an indicator of the quality of the statistics.
# more statistics from this data set are available at 
# http://www.tam.uiuc.edu/Faculty/Moser/channel 
#
# Authors: Moser, Kim & Mansour
# Reference: DNS of Turbulent Channel Flow up to Re_tau=590, 1999,
#            Physics of Fluids, vol 11, 943-945.
# Numerical Method: Kim, Moin & Moser, 1987, J. Fluid Mech. vol 177, 133-166 
# Re_tau = 392.24
# Normalization: U_tau, h 
# Description: Mean velocities and their derivatives and mean pressure 
# Filename: chan395/profiles/chan395.means 
# Date File Created: Mar 01, 2000 
#
#---End of Header---
# 
# ny = 257,  Re = 392.24
  
       y+               u+              k+            R_uv   
   1.4715000e+02   1.7590000e+01   1.6673160e+00  -6.1500000e-01
   1.5092000e+02   1.7664000e+01   1.6405000e+00  -6.0551000e-01
   1.5474000e+02   1.7738000e+01   1.6134440e+00  -5.9561000e-01
   1.5858000e+02   1.7812000e+01   1.5862960e+00  -5.8530000e-01
   1.6247000e+02   1.7886000e+01   1.5591520e+00  -5.7460000e-01
   1.6639000e+02   1.7960000e+01   1.5320640e+00  -5.6350000e-01
   1.7034000e+02   1.8034000e+01   1.5049640e+00  -5.5204000e-01
   1.7433000e+02   1.8108000e+01   1.4781880e+00  -5.4040000e-01
   1.7834000e+02   1.8182000e+01   1.4518760e+00  -5.2883000e-01
   1.8239000e+02   1.8254000e+01   1.4255840e+00  -5.1747000e-01
   1.8648000e+02   1.8326000e+01   1.3989640e+00  -5.0626000e-01
   1.9059000e+02   1.8396000e+01   1.3724720e+00  -4.9507000e-01
   1.9473000e+02   1.8466000e+01   1.3465920e+00  -4.8386000e-01
   1.9891000e+02   1.8535000e+01   1.3214760e+00  -4.7269000e-01
   2.0311000e+02   1.8603000e+01   1.2967360e+00  -4.6164000e-01
   2.0734000e+02   1.8669000e+01   1.2718240e+00  -4.5072000e-01
   2.1160000e+02   1.8734000e+01   1.2465320e+00  -4.3999000e-01
   2.1589000e+02   1.8797000e+01   1.2211640e+00  -4.2949000e-01
   2.2020000e+02   1.8859000e+01   1.1958160e+00  -4.1910000e-01
   2.2454000e+02   1.8919000e+01   1.1705280e+00  -4.0876000e-01
   2.2890000e+02   1.8978000e+01   1.1451320e+00  -3.9853000e-01
   2.3329000e+02   1.9035000e+01   1.1194440e+00  -3.8843000e-01
